Location,Period,Indicator,Dim1,First Tooltip
Afghanistan,2019,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,60.27
Afghanistan,2019,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,63.83
Afghanistan,2019,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,56.57
Afghanistan,2018,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,62.54
Afghanistan,2018,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,66.08
Afghanistan,2018,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,58.84
Afghanistan,2017,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,64.94
Afghanistan,2017,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,68.49
Afghanistan,2017,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,61.25
Afghanistan,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,67.57
Afghanistan,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,71.11
Afghanistan,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,63.87
Afghanistan,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,70.44
Afghanistan,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,74
Afghanistan,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,66.73
Afghanistan,2014,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,73.58
Afghanistan,2014,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,77.15
Afghanistan,2014,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,69.78
Afghanistan,2013,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,76.83
Afghanistan,2013,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,80.48
Afghanistan,2013,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,73.03
Afghanistan,2012,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,80.34
Afghanistan,2012,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,83.99
Afghanistan,2012,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,76.45
Afghanistan,2011,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,83.91
Afghanistan,2011,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,87.55
Afghanistan,2011,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,80.04
Afghanistan,2010,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,87.62
Afghanistan,2010,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,91.32
Afghanistan,2010,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,83.71
Afghanistan,2009,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,91.43
Afghanistan,2009,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,95.23
Afghanistan,2009,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,87.47
Afghanistan,2008,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,95.4
Afghanistan,2008,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,99.26
Afghanistan,2008,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,91.39
Afghanistan,2007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,99.53
Afghanistan,2007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,103.4
Afghanistan,2007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,95.43
Afghanistan,2006,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,103.7
Afghanistan,2006,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,107.6
Afghanistan,2006,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,99.55
Afghanistan,2005,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,107.9
Afghanistan,2005,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,111.8
Afghanistan,2005,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,103.7
Afghanistan,2004,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,112.1
Afghanistan,2004,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,116.1
Afghanistan,2004,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,107.9
Afghanistan,2003,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,116.3
Afghanistan,2003,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,120.4
Afghanistan,2003,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,112
Afghanistan,2002,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,120.4
Afghanistan,2002,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,124.5
Afghanistan,2002,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,116.2
Afghanistan,2001,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,124.6
Afghanistan,2001,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,128.8
Afghanistan,2001,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,120.2
Afghanistan,2000,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,128.7
Afghanistan,2000,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,132.9
Afghanistan,2000,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,124.2
Afghanistan,1999,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,132.8
Afghanistan,1999,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,137.1
Afghanistan,1999,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,128.3
Afghanistan,1998,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,136.9
Afghanistan,1998,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,141.3
Afghanistan,1998,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,132.4
Afghanistan,1997,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,141.2
Afghanistan,1997,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,145.5
Afghanistan,1997,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,136.5
Afghanistan,1996,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,145.6
Afghanistan,1996,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,150
Afghanistan,1996,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,141
Afghanistan,1995,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,150.3
Afghanistan,1995,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,154.5
Afghanistan,1995,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,145.7
Afghanistan,1994,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,155.2
Afghanistan,1994,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,159.6
Afghanistan,1994,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,150.7
Afghanistan,1993,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,160.4
Afghanistan,1993,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,164.8
Afghanistan,1993,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,155.9
Afghanistan,1992,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,165.9
Afghanistan,1992,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,170.2
Afghanistan,1992,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,161.4
Afghanistan,1991,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,171.7
Afghanistan,1991,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,176
Afghanistan,1991,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,167.1
Afghanistan,1990,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,177.7
Afghanistan,1990,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,182
Afghanistan,1990,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,173.1
Afghanistan,1989,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,183.8
